industry_id,industry_category,industry_name
1,金融,銀行・信託銀行
2,金融,信用金庫・組合
3,金融,証券
4,金融,投資銀行
5,金融,アセットマネジメント
6,金融,プライベートエクイティ・ファンド
7,金融,不動産ファンド
8,金融,ベンチャーキャピタル
9,金融,クレジット・信販
10,金融,政府系金融機関
11,金融,金融その他
12,保険,生命保険
13,保険,損害保険
14,保険,保険その他
15,不動産,デベロッパー
16,不動産,不動産仲介
17,不動産,不動産管理
18,不動産,不動産その他
19,建設,建設・建築・土木
20,建設,設備・電気
21,建設,住宅設備・ハウスメーカー
22,建設,プラント・エンジニアリング
23,建設,内装・リフォーム・インテリア
24,建設,建設その他
25,コンサルティング,コンサルティング
26,コンサルティング,シンクタンク
27,コンサルティング,リサーチ
28,コンサルティング,コンサルティングその他
29,IT・インターネット,インターネットサービス
30,IT・インターネット,デジタルマーケティング
31,IT・インターネット,Sler
32,IT・インターネット,ソフトウェア
33,IT・インターネット,ハードウェア
34,IT・インターネット,通信・キャリア
35,IT・インターネット,IT・インターネットその他
36,メーカー,電気・電子
37,メーカー,半導体
38,メーカー,機械
39,メーカー,精密・計測機器
40,メーカー,自動車・自動車部品
41,メーカー,化学・石油
42,メーカー,バイオ
43,メーカー,素材
44,メーカー,食品・飲料
45,メーカー,日用品
46,メーカー,化粧品
47,メーカー,アパレル・ファッション
48,メーカー,農林・水産
49,メーカー,メーカーその他
50,商社,総合商社
51,商社,専門商社
52,商社,商社その他
53,物流・小売,百貨店・スーパー・コンビニ
54,物流・小売,専門店
55,物流・小売,流通
56,物流・小売,物流
57,物流・小売,倉庫
58,物流・小売,物流・小売その他
59,サービス,人材
60,サービス,アウトソーシング・コールセンター
61,サービス,旅行・観光
62,サービス,ホテル
63,サービス,アミューズメント
64,サービス,福祉・介護
65,サービス,教育
66,サービス,育児・保育
67,サービス,外食
68,サービス,ブライダル
69,サービス,サービスその他
70,メディカル,医薬品メーカー
71,メディカル,医療機器メーカー
72,メディカル,医薬品卸
73,メディカル,医療機器卸
74,メディカル,病院・クリニック
75,メディカル,大学・研究施設
76,メディカル,CRO
77,メディカル,臨床検査機器・診断薬
78,メディカル,ドラッグストア・調剤薬局
79,メディカル,再生医療・バイオベンチャー
80,メディカル,メディカルその他
81,マスコミ・メディア,広告・PR
82,マスコミ・メディア,テレビ・放送・映像・音響
83,マスコミ・メディア,新聞・出版
84,マスコミ・メディア,印刷
85,マスコミ・メディア,マスコミ・メディアその他
86,エンターテイメント,音楽
87,エンターテイメント,映画
88,エンターテイメント,ゲーム
89,エンターテイメント,エンターテイメントその他
90,運輸・交通,海運
91,運輸・交通,鉄道
92,運輸・交通,陸運
93,運輸・交通,空輸
94,運輸・交通,空港
95,運輸・交通,運輸・交通その他
96,エネルギー,電力・ガス・水道
97,エネルギー,石油
98,エネルギー,エネルギーその他
99,官公庁・士業,官公庁
100,官公庁・士業,自治体
101,官公庁・士業,監査・税理法人
102,官公庁・士業,法律事務所
103,官公庁・士業,官公庁・士業その他
104,金融,M&A仲介
