job_id,job_category,job_name
1,コンサルタント,戦略コンサルタント
2,コンサルタント,業務コンサルタント
3,コンサルタント,ITコンサルタント
4,コンサルタント,組織人事コンサルタント
5,コンサルタント,製造 / 流通業界コンサルタント
6,コンサルタント,ヘルスケア業界コンサルタント
7,コンサルタント,情報通信 / メディア業界コンサルタント
8,コンサルタント,金融業界コンサルタント
9,コンサルタント,官公庁コンサルタント
114,コンサルタント,財務 / 会計コンサルタント
115,コンサルタント,マーケティングコンサルタント
78,コンサルタント,その他コンサルタント
10,財務アドバイザリー,M&Aアドバイザリー
11,財務アドバイザリー,ターンアラウンド
12,財務アドバイザリー,資金調達
13,財務アドバイザリー,カバレッジ
79,財務アドバイザリー,その他財務アドバイザリー
14,金融専門職,トレーダー
15,金融専門職,クオンツ / アクチュアリー
16,金融専門職,オペレーション
17,金融専門職,ファンドマネージャー
18,金融専門職,アナリスト
80,金融専門職,その他金融専門職
19,専門職,公認会計士 / 税理士
20,専門職,弁護士 / 弁理士
21,専門職,司法書士 / 行政書士
81,専門職,その他専門職
22,経営 / 管理,経営企画
23,経営 / 管理,新規事業企画
24,経営 / 管理,IT企画
25,経営 / 管理,SCM
26,経営 / 管理,経理
116,経営 / 管理,税務
27,経営 / 管理,財務
28,経営 / 管理,人事
29,経営 / 管理,総務
117,経営 / 管理,管理会計
30,経営 / 管理,法務 / コンプラ
82,経営 / 管理,経営者（CxO）
118,経営 / 管理,物流企画 / 物流管理
119,経営 / 管理,購買 / 資材調達
120,経営 / 管理,商品 / 在庫管理
121,経営 / 管理,不動産企画 / 不動産開発
83,経営 / 管理,その他経営 / 管理
31,マーケティング,マーケティング戦略
32,マーケティング,デジタルマーケティング
33,マーケティング,リサーチ
34,マーケティング,広報 / PR
122,マーケティング,商品企画 / 開発
123,マーケティング,販促
84,マーケティング,その他マーケティング
35,営業,法人営業
36,営業,個人営業
37,営業,代理店営業
38,営業,営業企画
39,営業,バックオフィス / 営業事務
85,営業,医療営業 （MR/MS/その他）
86,営業,海外営業
87,営業,キャリアコンサルタント
88,営業,その他営業
40,技術 / R&D,R&D
60,技術 / R&D,生産 / 製造技術
61,技術 / R&D,機械 / 電子機器設計
62,技術 / R&D,品質 / 生産管理 / メンテナンス
63,技術 / R&D,建築 / 建築設備
64,技術 / R&D,土木施工 / 測量 / 積算
65,技術 / R&D,建築施工管理
89,技術 / R&D,その他技術 / R&D
41,IT / WEB,開発（スマホアプリ）
42,IT / WEB,開発（フロントエンド）
124,IT / WEB,開発（バックエンド）
125,IT / WEB,開発（汎用系 / 制御系）
43,IT / WEB,開発（ミドルウェア）
44,IT / WEB,開発（インフラ）
45,IT / WEB,運用/保守
126,IT / WEB,プロジェクトマネージャー
127,IT / WEB,プロダクトマネージャー
75,IT / WEB,データサイエンティスト
76,IT / WEB,セールスエンジニア
77,IT / WEB,カスタマーエンジニア
90,IT / WEB,その他IT
46,クリエイター,プロデューサー
47,クリエイター,ディレクター
48,クリエイター,デザイナー
49,クリエイター,ライター / 記者 / 編集
91,クリエイター,ゲームクリエイター
92,クリエイター,イラストレーター
93,クリエイター,ラジオ / テレビアナウンサー
128,クリエイター,映像制作 / 編集
94,クリエイター,その他クリエイター
50,販売 / 事務,スタッフ / 販売員
51,販売 / 事務,マネージャー / 店長
52,販売 / 事務,エリアマネージャー / 店舗管理
53,販売 / 事務,バックオフィス / 営業事務 / 一般事務
129,販売 / 事務,秘書
95,販売 / 事務,その他販売 / 事務
54,公務員,国家公務員
55,公務員,地方公務員
56,公務員,その他公務員
96,保安,警察官
97,保安,消防士
98,保安,自衛官
72,保安,警備員
99,保安,海上保安官
100,保安,看守
101,保安,その他保安
66,医療 / 福祉,医師
67,医療 / 福祉,看護師 / 准看護師 / 保健師 / 助産師
68,医療 / 福祉,薬剤師 / 管理薬剤師
69,医療 / 福祉,臨床検査技師
70,医療 / 福祉,介護福祉士 / ヘルパー
102,医療 / 福祉,その他医療 / 福祉
71,教育 / 保育,講師 / インストラクター
73,教育 / 保育,保育士
74,教育 / 保育,幼稚園教諭
103,教育 / 保育,小学校教諭
104,教育 / 保育,中学校教諭
105,教育 / 保育,高等学校教諭
106,教育 / 保育,その他教育 / 保育
107,サービス,エステ / 理美容 / リラクゼーション職
108,サービス,ブライダル / 葬祭職
109,サービス,旅行 / ホテル職
110,サービス,交通 / 運輸職
111,サービス,その他サービス
57,その他,カスタマーサポート / 接客 / 顧客対応
58,その他,翻訳 / 通訳
112,その他,技能工 / 設備 / 配送
113,その他,農林水産
59,その他,その他
