vision_id,industry_id,score
1,50,10
1,25,10
1,1,10
2,50,10
2,25,10
2,59,10
3,6,10
3,4,10
3,3,10
4,29,10
4,8,10
5,50,10
5,25,10
5,1,10
6,29,10
6,50,10
6,59,10
7,25,10
7,101,10
8,29,10
8,34,10
8,50,10
8,25,10
8,104,10
9,50,10
9,81,10
9,31,10
9,49,10
10,29,10
10,31,10
10,81,10
11,16,10
11,3,10
11,12,10
11,59,10
11,81,10
11,71,10
11,50,10
12,29,10
12,59,10
12,12,10
12,1,10
13,1,10
13,3,10
13,12,10
13,59,10
13,31,10
13,50,10
14,59,10
14,25,10
14,50,10
15,29,10
15,50,10
15,70,10
15,40,10
16,25,10
16,101,10
17,44,10
17,46,10
17,45,10
17,40,10
17,29,10
17,81,10
18,29,10
18,31,10
18,32,10
19,81,10
19,88,10
19,29,10
20,29,10
20,25,10
20,81,10
20,1,10
20,13,10
21,29,10
21,81,10
21,53,10
22,44,10
22,46,10
22,45,10
22,47,10
22,40,10
22,81,10
23,81,10
23,85,10
23,47,10
24,83,10
24,29,10
24,81,10
25,101,10
25,4,10
25,1,10
25,50,10
26,4,10
26,6,10
26,50,10
27,25,10
27,50,10
27,6,10
28,29,10
28,88,10
28,34,10
29,25,10
29,31,10
29,101,10
30,31,10
30,32,10
30,25,10
31,29,10
31,88,10
31,31,10
32,49,10
32,11,10
32,31,10
33,31,10
33,29,10
33,25,10
34,29,10
34,31,10
34,88,10
35,29,10
35,34,10
35,31,10
36,29,10
36,88,10
36,59,10
37,29,10
37,88,10
38,29,10
38,31,10
38,34,10
39,29,10
39,31,10
39,88,10
39,34,10
39,40,10
40,41,10
40,70,10
40,40,10
41,40,10
41,39,10
41,38,10
42,19,10
42,22,10
43,38,10
43,41,10
43,44,10
44,99,10
44,100,10
44,96,10
44,41,10
45,53,10
45,67,10
45,63,10
46,49,10
46,50,10
46,35,10
47,100,10
47,99,10
47,61,10
48,102,10
48,101,10
48,49,10
