vision_id,strength_type_id,score
1,3,10
1,2,10
1,9,10
2,9,10
2,2,10
2,7,10
3,3,10
3,4,10
3,13,10
4,2,10
4,11,10
4,4,10
5,7,10
5,9,10
5,3,10
6,4,10
6,3,10
6,2,10
7,1,10
7,16,10
7,7,10
8,2,10
8,11,10
8,13,10
9,6,10
9,10,10
9,14,10
10,6,10
10,13,10
10,14,10
11,4,10
11,13,10
11,15,10
12,7,10
12,9,10
12,3,10
13,4,10
13,9,10
13,2,10
14,6,10
14,9,10
14,14,10
15,6,10
15,13,10
15,9,10
16,7,10
16,6,10
16,13,10
17,3,10
17,6,10
17,5,10
18,3,10
18,2,10
18,5,10
19,15,10
19,2,10
19,5,10
20,7,10
20,16,10
20,8,10
21,3,10
21,16,10
21,7,10
22,5,10
22,15,10
22,6,10
23,6,10
23,11,10
23,14,10
24,8,10
24,6,10
24,13,10
25,10,10
25,7,10
25,3,10
26,3,10
26,7,10
26,1,10
27,7,10
27,3,10
27,8,10
28,5,10
28,3,10
28,2,10
29,7,10
29,2,10
29,13,10
30,9,10
30,2,10
30,10,10
31,5,10
31,6,10
31,7,10
32,7,10
32,9,10
32,10,10
33,7,10
33,16,10
33,10,10
34,6,10
34,9,10
34,14,10
35,10,10
35,16,10
35,7,10
36,1,10
36,16,10
36,8,10
37,8,10
37,1,10
37,2,10
38,8,10
38,16,10
38,1,10
39,8,10
39,9,10
39,7,10
40,16,10
40,8,10
40,5,10
41,16,10
41,8,10
41,7,10
42,2,10
42,9,10
42,10,10
43,2,10
43,9,10
43,7,10
44,12,10
44,1,10
44,10,10
45,9,10
45,4,10
45,6,10
46,10,10
46,7,10
46,9,10
47,14,10
47,6,10
47,2,10
48,7,10
48,10,10
48,16,10
