vision_id,target_job_id,score
1,4,10
1,5,10
1,6,5
1,1,5
1,22,5
1,17,5
2,4,10
2,6,10
2,1,5
2,5,5
2,23,5
2,14,5
3,23,10
3,22,10
3,6,5
3,4,5
4,5,10
4,4,10
4,18,5
4,17,5
4,6,5
5,4,10
5,6,10
5,23,5
5,5,5
5,1,5
6,5,10
6,4,10
6,18,10
6,1,5
6,17,5
6,6,5
6,12,5
7,6,10
7,7,10
7,4,5
7,14,5
7,23,5
8,5,10
8,6,10
8,1,5
8,3,5
8,17,5
8,7,5
8,22,5
8,4,5
9,1,10
9,3,5
9,4,5
10,3,10
10,1,10
10,7,5
10,17,5
11,1,10
11,2,10
11,3,5
11,20,5
11,22,5
12,4,10
12,11,10
12,1,5
12,7,5
13,1,10
13,3,10
13,2,5
13,4,5
13,5,5
14,14,10
14,4,5
14,25,5
14,6,5
15,14,10
15,4,5
15,1,5
15,6,5
15,5,5
16,14,10
16,6,10
16,4,5
16,26,5
17,17,10
17,15,10
17,16,5
17,11,5
17,6,5
17,12,5
17,5,5
18,17,10
18,12,10
18,18,5
18,16,5
19,19,10
19,15,10
19,17,5
19,12,5
20,11,10
20,13,10
20,8,5
20,22,5
20,17,5
21,17,10
21,11,10
21,15,5
21,16,5
22,15,10
22,16,10
22,17,5
22,12,5
22,19,5
22,20,5
23,16,10
23,15,10
23,19,5
23,14,5
23,27,5
24,19,10
24,16,10
24,15,5
24,17,5
25,23,10
25,24,10
25,22,10
25,4,5
25,6,5
26,23,10
26,22,10
26,6,5
26,8,5
27,6,10
27,4,10
27,5,5
27,22,5
27,1,5
27,13,5
28,18,10
28,5,10
28,8,5
28,17,5
28,15,5
28,12,5
29,7,10
29,8,10
29,10,5
29,4,5
30,8,10
30,7,10
30,10,5
30,4,5
31,18,10
31,8,5
31,17,5
31,5,5
31,12,5
31,6,5
32,10,10
32,8,10
32,26,5
32,4,5
33,8,10
33,10,10
33,7,5
33,13,5
34,8,10
34,18,5
34,10,5
34,7,5
34,14,5
35,8,10
35,10,10
35,25,5
35,28,5
36,8,10
36,19,10
36,7,5
36,11,5
37,8,10
37,19,5
37,10,5
38,8,10
38,13,10
38,11,5
38,10,5
39,8,10
39,13,10
39,10,5
39,18,5
39,7,5
40,13,10
40,12,10
40,11,5
40,8,5
41,13,10
41,12,10
41,8,5
41,9,5
42,9,10
42,8,10
42,26,5
42,1,5
43,12,10
43,9,10
43,13,5
43,26,5
44,26,10
44,10,10
44,24,10
44,25,10
44,27,5
44,14,5
44,23,5
44,13,5
45,20,10
45,14,10
45,26,5
45,1,5
46,26,10
46,24,10
46,25,5
46,23,5
47,16,10
47,26,10
47,14,5
47,5,5
48,25,10
48,26,10
48,28,5
48,4,5
